AgS,ReT,Temp,pH,rpm,AdC,Ce,qe
Virgin,PS,25.0,7.0,140.0,Mixed,0.00041193,0.1335641793248794
Virgin,PS,25.0,7.0,140.0,Mixed,0.0006460099999999999,0.4529705842520483
Virgin,PS,25.0,7.0,140.0,Mixed,0.0006597199999999999,0.4529705842520483
Virgin,PS,25.0,7.0,140.0,Mixed,0.0006417899999999999,1.186697425011207
Virgin,PS,25.0,7.0,140.0,Mixed,0.00071665,1.022492191262249
Virgin,PS,25.0,7.0,140.0,Mixed,0.00071455,1.404882491197491
Aged,PS,25.0,7.0,140.0,Mixed,1.713e-05,0.005093777843244421
Aged,PS,25.0,7.0,140.0,Mixed,1.292e-05,0.008536109941845841
Aged,PS,25.0,7.0,140.0,Mixed,1.713e-05,0.01444774274380102
Aged,PS,25.0,7.0,140.0,Mixed,0.00010128,0.002921191309824114
Aged,PS,25.0,7.0,140.0,Mixed,8.55e-05,0.02170650986736237
Aged,PS,25.0,7.0,140.0,Mixed,0.00018438,0.02595434062377881
Aged,PS,25.0,7.0,140.0,Mixed,0.00038214,0.1309392955200731
Aged,PS,25.0,7.0,140.0,Mixed,0.00040423,0.128363041812575
Aged,PS,25.0,7.0,140.0,Mixed,0.00045261,0.1258403738989727
Aged,PS,25.0,7.0,140.0,Mixed,0.0006703599999999999,0.4440685331432344
Aged,PS,25.0,7.0,140.0,Mixed,0.0006966499999999999,0.5416141474639717
Aged,PS,25.0,7.0,140.0,Mixed,0.00073137,1.377272893194194
Aged,PS,25.0,7.0,140.0,Mixed,0.00073557,1.747873508229715
Aged,PS,25.0,7.0,140.0,Mixed,1.11e-06,0.004658327306936916
Aged,PS,25.0,7.0,140.0,Mixed,1e-06,0.007502569030121841
Aged,PS,25.0,7.0,140.0,Mixed,6.68e-05,0.02421140541811282
Aged,PS,25.0,7.0,140.0,Mixed,0.00013778,0.04306455858266584
Aged,PS,25.0,7.0,140.0,Mixed,0.0001452,0.05357843204814131
Aged,PS,25.0,7.0,140.0,Mixed,0.00011553,0.06218276079857107
Aged,PS,25.0,7.0,140.0,Mixed,8.269e-05,0.1106012410019243
Aged,PS,25.0,7.0,140.0,Mixed,0.00010388,0.1209400099499209
Aged,PS,25.0,7.0,140.0,Mixed,0.00013354,0.3826220550869994
Aged,PS,25.0,7.0,140.0,Mixed,0.00013354,0.5635597917848865
Aged,PS,25.0,7.0,140.0,Mixed,0.00014944,1.022492191262249
Aged,PS,25.0,7.0,140.0,Mixed,0.00014732,1.350174806380491
Aged,PS,25.0,7.0,140.0,Mixed,0.00018334,1.022492191262249
Virgin,PE,25.0,7.0,140.0,Mixed,1.01e-05,0.003008846276645726
Virgin,PE,25.0,7.0,140.0,Mixed,5.870000000000001e-06,0.006047696663852927
Virgin,PE,25.0,7.0,140.0,Mixed,5.977e-05,0.01443743360488605
Virgin,PE,25.0,7.0,140.0,Mixed,0.00015172,0.0161372675683917
Virgin,PE,25.0,7.0,140.0,Mixed,0.00014855,0.03446592987067876
Virgin,PE,25.0,7.0,140.0,Mixed,0.00038107,0.04911226909989318
Virgin,PE,25.0,7.0,140.0,Mixed,0.00039693,0.04911226909989318
Virgin,PE,25.0,7.0,140.0,Mixed,0.00074148,0.2108336852311198
Virgin,PE,25.0,7.0,140.0,Mixed,0.00078693,0.2108336852311198
Virgin,PE,25.0,7.0,140.0,Mixed,0.00080912,0.294408266424372
Virgin,PE,25.0,7.0,140.0,Mixed,0.00091376,1.011672628461534
Virgin,PE,25.0,7.0,140.0,Mixed,0.0009761100000000001,1.130758861764626
Virgin,PE,25.0,7.0,140.0,Mixed,0.00101205,1.17747040442694
Aged,PE,25.0,7.0,140.0,Mixed,5.44e-06,0.004159201872999962
Aged,PE,25.0,7.0,140.0,Mixed,5.44e-06,0.00675974012472938
Aged,PE,25.0,7.0,140.0,Mixed,5.44e-06,0.01191242008027375
Aged,PE,25.0,7.0,140.0,Mixed,6.765e-05,0.02346442952687751
Aged,PE,25.0,7.0,140.0,Mixed,0.00014462,0.02786826938924004
Aged,PE,25.0,7.0,140.0,Mixed,0.00015833,0.03775200310026778
Aged,PE,25.0,7.0,140.0,Mixed,0.0003692,0.0774319149806031
Aged,PE,25.0,7.0,140.0,Mixed,0.00037131,0.1007325898799912
Aged,PE,25.0,7.0,140.0,Mixed,0.0006918499999999999,0.3192346324106495
Aged,PE,25.0,7.0,140.0,Mixed,0.00071505,0.2453917738552606
Aged,PE,25.0,7.0,140.0,Mixed,0.0007762,0.8869926069119134
Aged,PE,25.0,7.0,140.0,Mixed,0.00080362,0.7468097856637075
Aged,PE,25.0,7.0,140.0,Mixed,0.00083314,0.8692205794135311
Aged,PE,25.0,7.0,140.0,Mixed,1.372e-05,0.005691542720552266
Aged,PE,25.0,7.0,140.0,Mixed,8.3e-06,0.0116737395596142
Aged,PE,25.0,7.0,140.0,Mixed,6.252e-05,0.01518658062013601
Aged,PE,25.0,7.0,140.0,Mixed,7.427e-05,0.01955779996952409
Aged,PE,25.0,7.0,140.0,Mixed,0.0001285,0.0259627086633696
Aged,PE,25.0,7.0,140.0,Mixed,0.00017369,0.03178630161321441
Aged,PE,25.0,7.0,140.0,Mixed,0.00031016,0.1027921618686554
Aged,PE,25.0,7.0,140.0,Mixed,0.00034269,0.0790150828839864
Aged,PE,25.0,7.0,140.0,Mixed,0.0006797999999999999,0.294408266424372
Aged,PE,25.0,7.0,140.0,Mixed,0.0007620400000000001,1.471024818433523
Aged,PE,25.0,7.0,140.0,Mixed,0.00082621,1.384394929585153
Aged,PE,25.0,7.0,140.0,Mixed,0.00084338,1.108128181930399
Virgin,PS,25.0,7.0,160.0,Single-ion,0.01591,0.08104256
Virgin,PS,25.0,7.0,160.0,Single-ion,0.12931,0.16112278
Virgin,PS,25.0,7.0,160.0,Single-ion,0.2584,0.23504299
Virgin,PS,25.0,7.0,160.0,Single-ion,0.65933,0.3332409
Virgin,PS,25.0,7.0,160.0,Single-ion,1.02332,0.47129775
Virgin,PS,25.0,7.0,160.0,Single-ion,1.43438,0.56369801
Aged,PS,25.0,7.0,160.0,Single-ion,0.01034,0.08285433
Aged,PS,25.0,7.0,160.0,Single-ion,0.10703,0.18322637
